Ga 
G
M
AN
Ana
ANR
NF0
NF1
NF2
M0
M1
M2
k4
ka20
AB
kv
q1
q2
c1
c3
c4
c5
k1
k2
k3
a1
a2
a3
c1a
c5a
c6a
i1
i1a
e1a
e2a
dt
tp
KN
KNN
ka
ki
kb
kf
Tdeg
q1r
q2r
q2rr
c1r
c1rr
c3r
q1a
q2a
c3a
c4a
k5
tp1
